index,id,water,uv,area,fertilizer_usage,yield,pesticides,region,categories,a,b,c,d,yieldperhectare
1,185,9.154,69.117,0.263,4,2.843,2.684,2,"d,b,a",1,1,0,1,10.81
2,588,4.86,70.15,0.653,3,5.998,6.092,2,"d,a,c",1,0,1,1,9.19
3,720,5.182,56.204,0.884,4,7.212,4.079,6,"c,d",0,0,1,1,8.16
4,730,9.059,76.584,1.03,3,11.181,2.935,4,"a,b",1,1,0,0,10.86
5,393,8.194,59.687,1.262,2,12.091,4.361,2,"b,c,a",1,1,1,0,9.58
6,307,5.613,67.685,1.497,3,15.607,3.712,2,"c,b,d",0,1,1,1,10.43
7,153,5.362,68.859,1.716,1,11.726,2.417,2,"b,c,a,d",1,1,1,1,6.83
8,3,10.995,69.248,1.738,3,17.984,0.603,2,a,1,0,0,0,10.35
9,871,3.473,69.914,1.788,4,18.622,5.588,2,"b,c,a",1,1,1,0,10.41
10,22,12.22354593,63.116,1.87,4,14.693,0.071,2,"d,c",0,0,1,1,7.86
11,317,6.225,71.647,1.897,2,16.298,2.903,2,"c,d",0,0,1,1,8.59
12,632,9.679,73.95748788,2.105,5,28.398,3.659,2,"c,b,d,a",1,1,1,1,13.49
13,362,9.295,68.929,2.108,1,23.033,3.586,3,d,0,0,0,1,10.93
14,991,7.83,84.647,2.155,4,27.507,4.163,2,"a,c,b",1,1,1,0,12.76
15,775,10.859,64.828,2.187,2,22.624,1.378,2,"a,d",1,0,0,1,10.34
16,716,5.752,76.791,2.391,3,26.004,3.963,2,"c,d,a",1,0,1,1,10.88
17,491,11.154,65.098,2.415,4,34.045,3.379,3,d,0,0,0,1,14.1
18,207,8.889,62.933,2.615,1,30.533,5.154,3,a,1,0,0,0,11.68
19,520,5.737,77.583,2.707,5,20.128,2.014,6,"a,d,b,c",1,1,1,1,7.44
20,249,10.456,68.223,2.724,2,29.995,2.245,4,a,1,0,0,0,11.01
21,655,6.343,64.023,2.729,2,23.027,6.156,4,"b,c,d",0,1,1,1,8.44
22,344,9.739,62.867,2.758,4,32.895,5.026,3,"a,c,b",1,1,1,0,11.93
23,293,9.346,64.719,2.797,2,28.066,1.256,0,d,0,0,0,1,10.03
24,165,11.482,65.269,2.798,4,31.438,2.334,0,"c,b",0,1,1,0,11.24
25,152,5.607,60.038,2.864,2,23.019,7.424,0,"d,a",1,0,0,1,8.04
26,171,11.412,74.612,2.932,3,30.28,2.377,2,"c,b,a,d",1,1,1,1,10.33
27,851,9.788,63.741,3.018,2,23.874,5.344,6,a,1,0,0,0,7.91
28,692,10.216,87.235,3.037,4,38.759,3.759,2,"d,b,a,c",1,1,1,1,12.76
29,163,12.22354593,64.624,3.077,3,38.078,2.273,1,"c,a",1,0,1,0,12.38
30,28,12.22354593,65.942,3.108,3,38.622,5.971,2,a,1,0,0,0,12.43
31,622,8.542,63.907,3.108,2,18.398,6.006,6,d,0,0,0,1,5.92
32,803,13.337,71.816,3.115,3,22.435,3.119,6,c,0,0,1,0,7.2
33,766,4.002,58.569,3.213,2,22.288,1.871,2,d,0,0,0,1,6.94
34,169,5.615,65.281,3.23,0,7.977,8.969,0,"b,a,c",1,1,1,0,2.47
35,302,8.948,74.832,3.231,5,28.74,3.569,5,c,0,0,1,0,8.9
36,270,4.74,76.784,3.302,1,27.918,3.456,2,"a,c",1,0,1,0,8.45
37,521,8.941,65.217,3.326,3,44.237,4.75,0,d,0,0,0,1,13.3
38,502,10.681,45.264,3.476,4,43.202,4.41,2,"a,c,d",1,0,1,1,12.43
39,886,13.529,86.763,3.507,1,35.012,3.844,2,"a,c",1,0,1,0,9.98
40,609,8.067,71.206,3.523,1,20.605,0.529,2,"c,b,a",1,1,1,0,5.85
41,142,9.817,73.95748788,3.546,3,47.086,3.146,4,"d,c",0,0,1,1,13.28
42,808,8.758,73.95748788,3.586,3,39.678,0.842,1,a,1,0,0,0,11.06
43,247,7.739,79.376,3.642,3,22.676,8.736,4,"b,c,a",1,1,1,0,6.23
44,839,9.896,62.084,3.783,3,42.368,3.269,2,"a,c,b",1,1,1,0,11.2
45,413,9.717,73.95748788,3.784,2,46.109,2.752,2,c,0,0,1,0,12.19
46,426,8.821,68.588,3.789,3,35.186,1.438,3,"c,b,d",0,1,1,1,9.29
47,324,9.013,59.391,3.804,4,50.729,2.373,1,"a,b",1,1,0,0,13.34
48,652,6.856,58.723,3.828,4,45.005,4.176,3,"d,a,c",1,0,1,1,11.76
49,106,12.505,63.518,3.845,1,45.793,4.065,3,a,1,0,0,0,11.91
50,628,8.569,75.087,3.869,5,47.962,5.678,1,"d,c,a",1,0,1,1,12.4
51,764,5.491,92.006,3.878,0,17.272,0.767,1,"b,c,d",0,1,1,1,4.45
52,456,9.06,67.911,3.908,3,36.917,1.525,2,"b,d",0,1,0,1,9.45
53,140,8.882,77.505,3.946,4,46.925,2.754,2,"d,b",0,1,0,1,11.89
54,332,9.716,68.383,3.98,1,32.355,4.343,6,d,0,0,0,1,8.13
55,604,7.643,67.181,3.993,2,45.206,3.919,2,"d,b",0,1,0,1,11.32
56,831,11.601,68.82,4.001,1,35.956,4.277,2,"c,a,b",1,1,1,0,8.99
57,146,10.074,62.921,4.007,3,50.982,2.85,1,a,1,0,0,0,12.72
58,73,9.26,76.631,4.038,5,50.554,5.61,2,"d,b",0,1,0,1,12.52
59,650,2.692,69.424,4.042,3,27.839,7.256,1,c,0,0,1,0,6.89
60,33,8.113,85.449,4.057,3,36.945,1.679,0,"d,a",1,0,0,1,9.11
61,629,5.928,78.282,4.071,0,27.857,3.978,1,"b,c",0,1,1,0,6.84
62,554,7.895,76.59,4.085,3,18.291,0.564,6,"c,a,b",1,1,1,0,4.48
63,528,4.259,73.95748788,4.088,4,35.516,0.739,0,"b,c,a",1,1,1,0,8.69
64,627,10.647,74.201,4.116,3,34.399,0.249,1,"d,a,c,b",1,1,1,1,8.36
65,824,9.203,57.391,4.117,5,47.261,5.598,2,"c,a,d,b",1,1,1,1,11.48
66,941,9.07,71.769,4.13,2,29.673,2.075,0,"b,c,a,d",1,1,1,1,7.18
67,812,7.722,76.451,4.144,2,36.151,6.256,3,"d,b",0,1,0,1,8.72
68,965,5.655,66.375,4.168,1,35.721,5.167,2,c,0,0,1,0,8.57
69,256,7.097,70.294,4.209,3,36.232,1.771,0,"b,c",0,1,1,0,8.61
